dx,dy,dz,x,y,z,delay,index
0.0,0.0,0.0,0.0,0.0,0.0,1,0
0.0,0.0,50.0,0.0,0.0,50.0,3,1
50.0,0.0,-50.0,50.0,0.0,0.0,3,2
-50.0,0.0,-50.0,0.0,0.0,-50.0,3,3
-50.0,-0.0,50.0,-50.0,-0.0,-0.0,3,4
50.0,50.0,0.0,0.0,50.0,0.0,3,5
-0.0,-100.0,-0.0,-0.0,-50.0,-0.0,3,6
0.0,50.0,70.0,0.0,0.0,70.0,3,7
70.0,0.0,-70.0,70.0,0.0,0.0,3,8
-70.0,0.0,-70.0,0.0,0.0,-70.0,3,9
-70.0,-0.0,70.0,-70.0,-0.0,-0.0,3,10
70.0,70.0,0.0,0.0,70.0,0.0,3,11
-0.0,-140.0,-0.0,-0.0,-70.0,-0.0,3,12
0.0,70.0,0.0,0.0,0.0,0.0,3,13
